Error Type,Topic Guid,Message
Error,,Checking for list in tables in file: message:System.Collections.ArrayList
Error,,CHecking Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content in md file: message:System.Collections.ArrayList
Error,,Checking for missing tables headers in file: message:System.Collections.ArrayList
Error,,Running transform:ConceptualTransform.xslt on file: message:System.Collections.ArrayList
Error,,Running github process on file: message:System.Collections.ArrayList
Warning,091876a8-22ee-4685-bb88-adb9de85175a,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>setup.exe /configure &lt;configurationXMLfilename&gt;.xml</b> in md file:091876a8-22ee-4685-bb88-adb9de85175a.md total found:0
Warning,091876a8-22ee-4685-bb88-adb9de85175a,Missing tables headers in file:091876a8-22ee-4685-bb88-adb9de85175a.md
Warning,13aa8058-b524-4c73-930b-0802b2617ab4,Missing tables headers in file:13aa8058-b524-4c73-930b-0802b2617ab4.md
Warning,16cf763b-78a4-43dc-b05f-3efade197c0d,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>     &lt;Display Level="None"  AcceptEULA="True"  /&gt;</p> in md file:16cf763b-78a4-43dc-b05f-3efade197c0d.md total found:0
Warning,16cf763b-78a4-43dc-b05f-3efade197c0d,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>&lt;No installed product keys detected&gt;</b> in md file:16cf763b-78a4-43dc-b05f-3efade197c0d.md total found:0
Warning,190f41e4-064d-486b-9c95-db08f973687c,Found a an ul list inside a table in html file:190f41e4-064d-486b-9c95-db08f973687c.xml
Warning,190f41e4-064d-486b-9c95-db08f973687c,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p> Release dates and build numbers that are italicized and enclosed in "&lt; &gt;" are subject to change.  </p> in md file:190f41e4-064d-486b-9c95-db08f973687c.md total found:0
Warning,1ee534fd-56dd-40fc-a463-470e8d636f09,Found a an ul list inside a table in html file:1ee534fd-56dd-40fc-a463-470e8d636f09.xml
Warning,2124a0dc-3f85-478c-a3da-c0b332b82095,Missing tables headers in file:2124a0dc-3f85-478c-a3da-c0b332b82095.md
Warning,278cea26-4657-45c1-aede-5365daa2f63c,Missing tables headers in file:278cea26-4657-45c1-aede-5365daa2f63c.md
Warning,29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b> setup.exe /configure &lt;installXMLfilename&gt;.xml</b> in md file:29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f.md total found:0
Warning,29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>setup.exe /configure &lt;installXMLfilename&gt;.xml</b> in md file:29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f.md total found:0
Warning,29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>setup.exe /configure &lt;configurationXMLfilename&gt;.xml</b> in md file:29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f.md total found:0
Warning,29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>setup.exe /configure &lt;configurationXMLfilename&gt;.xml</b> in md file:29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f.md total found:0
Warning,29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>setup.exe /configure &lt;configurationXMLfilename&gt;.xml</b> in md file:29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f.md total found:0
Warning,29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>setup.exe /configure &lt;configurationXMLfilename&gt;.xml</b> in md file:29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f.md total found:0
Warning,29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f,Missing tables headers in file:29873de8-6c2f-4f6d-aa1a-ca6f4a28a46f.md
Warning,2f560823-aa43-4003-8f79-2750d3944060,Missing tables headers in file:2f560823-aa43-4003-8f79-2750d3944060.md
Warning,328bc4dc-79ab-4082-a897-25ebe4fc44a9,Missing tables headers in file:328bc4dc-79ab-4082-a897-25ebe4fc44a9.md
Warning,3a3b98be-c33e-4ed5-8403-9cf71eccb904,Missing tables headers in file:3a3b98be-c33e-4ed5-8403-9cf71eccb904.md
Warning,3c108fee-b271-4cb0-8b16-a134faf9f70c,Missing tables headers in file:3c108fee-b271-4cb0-8b16-a134faf9f70c.md
