VBA Project,GUID,Friendly name
Deploy_O365ProPlus,a2cf0c03-0c1d-4753-ac05-00aab2644f9d,best-practices-deployment-for-locally-managed
Deploy_O365ProPlus,d4e4f2f7-35c8-4e2b-bf55-01807bd83235,nav-reference
Deploy_O365ProPlus,836f882c-8ff6-4f19-8b24-0212e0111c94,overview-of-shared-computer-activation-for-office-365-proplus
Deploy_O365ProPlus,9976a65c-2e66-4781-b830-02db03b1cdba,best-practices-for-deploying-office-2016-to-mac-clients
Deploy_O365ProPlus,13aa8058-b524-4c73-930b-0802b2617ab4,best-practices-sample-configuration-files-for-installing-office-365-proplus
Deploy_O365ProPlus,78b33779-9356-4cdf-9d2c-08350ef05cca,overview-of-the-upcoming-changes-to-office-365-proplus-update-management
Deploy_O365ProPlus,d3879f0d-766c-469c-9440-0a9a2a905ca8,configuration-options-for-the-office-2016-deployment-tool
Deploy_O365ProPlus,82691bd7-a3d5-47ca-8d8a-0ee43ec2c01f,use-the-office-deployment-tool-to-install-volume-licensed-editions-of-visio-2016
Deploy_O365ProPlus,bf1d87b1-3398-45e7-86cc-109995f3af76,best-practices-office-2016-mac-client-install-for-enterprise-managed
Deploy_O365ProPlus,9d9fc2d3-23e1-4309-8ae6-12ef5b6a8dcd,change-management-for-office-365-clients
Deploy_O365ProPlus,bb5b62d9-1168-47e9-9d54-15a958acfcca,overview-of-the-office-2016-deployment-tool
Deploy_O365ProPlus,83ede0c2-474d-4b11-8723-1984d5279a4c,end-user-update-notifications-for-office-365-proplus
Deploy_O365ProPlus,9b0b48f2-1937-4b10-8274-1ccdb2f5d019,use-the-office-compatibility-toolkit-to-assess-application-compatibility-for-off
Deploy_O365ProPlus,aef0e8b7-b36c-488d-a392-21720c139063,best-practices-assessment-for-locally-managed
Deploy_O365ProPlus,5b5f4aab-7100-4e14-b3d6-218d0a267765,best-practices-download-xml-files-for-locally-managed
Deploy_O365ProPlus,328bc4dc-79ab-4082-a897-25ebe4fc44a9,best-practices-download-xml-files-for-cloud-managed
Deploy_O365ProPlus,d239ef5d-34d7-486f-a8e4-26eeec4e0a80,best-practices-cloud-managed-scenario
Deploy_O365ProPlus,2f560823-aa43-4003-8f79-2750d3944060,best-practices-deployment-for-enterprise-managed
Deploy_O365ProPlus,af9d7621-8c2c-4181-84b4-27778b1e7920,deploy-office-365-proplus-by-using-remote-desktop-services
Deploy_O365ProPlus,e486afce-ad31-4889-87a4-28796751bb86,choose-how-to-manage-updates-to-office-365-proplus
Deploy_O365ProPlus,99aa9fba-e188-4ca0-ac0a-2c82d6ed5242,best-practices-for-managing-channels
Deploy_O365ProPlus,42a703ac-618c-4cb1-bc29-3014de45692b,delay-receiving-feature-updates-from-deferred-channel-for-office-365-proplus
Deploy_O365ProPlus,ead29f67-69fa-4a79-88fc-3056ac3f2b6f,nav-overview
Deploy_O365ProPlus,7c80254b-cc14-441c-8500-333d32c71949,best-practices-for-managing-updates-in-office-365-proplus
Deploy_O365ProPlus,1096c33e-a6f2-44c8-9821-3cba07ec5750,overview-of-licensing-and-activation-in-office-365-proplus
Deploy_O365ProPlus,a7e61b05-c07c-4a14-9888-3ea61b30f2fc,best-practices-system-center-configuration-manager-configuration-for-enterprise
Deploy_O365ProPlus,16cf763b-78a4-43dc-b05f-3efade197c0d,deploy-office-365-proplus-as-part-of-an-operating-system-image
Deploy_O365ProPlus,3afa6514-2df3-4c52-a746-40a6ea4feeaa,best-practices-management-for-enterprise-managed
Deploy_O365ProPlus,1ee534fd-56dd-40fc-a463-470e8d636f09,configure-updates-of-office-365-proplus-to-prepare-for-the-upgrade-to-the-office
Deploy_O365ProPlus,394f54fb-01ba-4be4-8606-4bce1ac39a31,best-practices-assessment-for-enterprise-managed
Deploy_O365ProPlus,8d86741d-51da-4b73-91bb-506579494bd3,best-practices-uninstall-xml-files-for-enterprise-managed
Deploy_O365ProPlus,1eca17f1-64f4-48ad-93ab-51f48aff70f4,best-practices-focus-areas-for-assessment
Deploy_O365ProPlus,278cea26-4657-45c1-aede-5365daa2f63c,best-practices-links-for-administration-education
Deploy_O365ProPlus,b4a17328-fcfe-40bf-9202-58d7cbf1cede,manage-updates-to-office-365-proplus-with-system-center-configuration-manager
Deploy_O365ProPlus,e9a8dd9f-732c-4c51-907b-59152acda975,best-practices-planning-for-cloud-managed
Deploy_O365ProPlus,7b5e0fde-11ff-4cd1-aceb-59f4ba77ff49,best-practices-office-2016-mac-client-install-for-locally-managed
Deploy_O365ProPlus,a6ada180-3f19-43b3-9291-5ec3cef88b2f,best-practices-deployment-resources
Deploy_O365ProPlus,c5aa7b52-77a0-464d-a295-5ee8e9a08f61,best-practices-office-content-delivery-network-configuration-for-cloud-managed
Deploy_O365ProPlus,5ebd1288-69ed-4425-a9cf-6253d6027005,best-practices-step-by-step-installation-using-dfs
Deploy_O365ProPlus,553200ea-c3d6-462f-a281-6399ebcca2be,nav-best-practices
Deploy_O365ProPlus,0a185e67-2b81-4c97-8c45-65984d8a9d9b,best-practices-update-channels
Deploy_O365ProPlus,07cf6be3-b6c7-435d-a1a7-6febe2cc3fd7,best-practices-for-using-offscrub
Deploy_O365ProPlus,733ff07f-8137-46e6-9904-70f59d716f6f,plan-your-upgrade-from-office-365-proplus-2013-to-2016
Deploy_O365ProPlus,570c7fb3-d7a5-49cd-8cbf-7300ea656328,best-practices-for-office-telemetry
Deploy_O365ProPlus,4d9d796b-4291-4e0c-bd75-751b434eeb01,best-practices-deployment-scenarios
Deploy_O365ProPlus,c3aeb487-d45f-4079-8c35-7558a45b876c,troubleshoot-issues-with-shared-computer-activation-for-office-365-proplus
Deploy_O365ProPlus,41edd1c2-6d00-4855-9119-75f1d2f095af,nav-manage-updates
Deploy_O365ProPlus,6a135401-541b-458e-88ee-77cdf2cdd1c8,best-practices-managing-reference-material
Deploy_O365ProPlus,fb1e26ac-9818-424f-b319-78817eb6650b,nav-upgrade
Deploy_O365ProPlus,e270bbe0-5156-4587-871b-7b923b199743,what-s-new-deploying-office-365-proplus-in-the-enterprise
Deploy_O365ProPlus,9ccf0f13-28ff-4975-9bd2-7e4ea2fefef4,overview-of-update-channels-for-office-365-proplus
Deploy_O365ProPlus,ae2bcbfa-2c03-4f4d-b951-8352f079e3d0,best-practices-management-for-locally-managed
Deploy_O365ProPlus,742fd8e2-8931-416a-8120-8ee982a6c825,best-practices-for-planningreference-materials
Deploy_O365ProPlus,f5062b95-6346-4e25-a2a3-91667aa7650e,nav-deploy
Deploy_O365ProPlus,48c953de-270e-4809-bd7d-93431159a047,best-practices-locally-managed-scenario
Deploy_O365ProPlus,3a3b98be-c33e-4ed5-8403-9cf71eccb904,best-practices-install-xml-files-for-locally-managed
Deploy_O365ProPlus,3c108fee-b271-4cb0-8b16-a134faf9f70c,best-practices-deployment-for-cloud-managed
Deploy_O365ProPlus,df4dba28-cc45-41a0-9b23-a1535523ab8c,best-practices-for-planning-your-deployment-of-office-365-proplus
Deploy_O365ProPlus,b18a9110-0d14-46ec-af54-a22793ef6b38,deploy-office-365-proplus-from-the-cloud
Deploy_O365ProPlus,e0deafc7-4646-49ea-9882-a2ad8b47a7e4,best-practices-for-group-policy
Deploy_O365ProPlus,8e5133dc-6bd5-46e8-a39c-a544d8c7bcdd,best-practices-office-2016-mac-client-install-for-cloud-managed
Deploy_O365ProPlus,9f11214c-911d-4e3c-9993-a566f12b1a68,about-office-365-proplus-in-the-enterprise
Deploy_O365ProPlus,f8a53994-d9e5-46db-aa90-a704bcca2473,best-practices-for-deploying-office-365-proplus
Deploy_O365ProPlus,31a384ca-650c-4265-b76c-a87b414fd8b8,best-practices-guide-for-deploying-office-365-proplus-in-the-enterprise
